iter	MultiClass
746	0.2600815581
747	0.2597427457
748	0.259646662
749	0.2594745375
750	0.2592743942
751	0.2591219858
752	0.2590214258
753	0.2588671133
754	0.2587351584
755	0.2585837082
756	0.2583985252
757	0.2582384423
758	0.2580811757
759	0.2578771377
760	0.2575095695
761	0.2573025843
762	0.2572127032
763	0.2570495916
764	0.2567881481
765	0.2565853909
766	0.256421911
767	0.2562200769
768	0.2560551408
769	0.2559520699
770	0.2556845922
771	0.2556058503
772	0.2554637813
773	0.2553011459
774	0.2551697089
775	0.2547618713
776	0.2544587868
777	0.2543919485
778	0.2541096714
779	0.2539399059
780	0.2537429057
781	0.2537086
782	0.2536421794
783	0.253495044
784	0.2532193
785	0.2531214731
786	0.2529189672
787	0.2527844837
788	0.2524541321
789	0.2521907186
790	0.2520921021
791	0.2518093487
792	0.2516714845
793	0.2515166473
794	0.2513985401
795	0.2511098767
796	0.2510006098
797	0.2508149655
798	0.2507454157
799	0.2503073609
800	0.2500814029
801	0.2499358287
802	0.2497087215
803	0.249436624
804	0.2493290929
805	0.249150661
806	0.2490083657
807	0.2488924986
808	0.2486703806
809	0.2485491462
810	0.2484174298
811	0.2483041701
812	0.2482008957
813	0.2481194784
814	0.2477250396
815	0.2475054649
816	0.2473750275
817	0.247291851
818	0.2471457811
819	0.2470607005
820	0.2469398631
821	0.2468357386
822	0.2466682172
823	0.2464699969
824	0.2463554698
825	0.2461897891
826	0.2461269384
827	0.2458677242
828	0.2455920014
829	0.2454564014
830	0.2452918283
831	0.245173919
832	0.244885773
833	0.2447284954
834	0.2444811742
835	0.244419088
836	0.2442410461
837	0.2441288324
838	0.2439889614
839	0.2438918512
840	0.2438086312
841	0.2437060326
842	0.243530339
843	0.2434034988
844	0.2431936959
845	0.2430525716
846	0.2429244786
847	0.2428034971
848	0.2427145866
849	0.2426716869
850	0.2425767285
851	0.242429574
852	0.2422644277
853	0.2420776079
854	0.2419936548
855	0.2418582316
856	0.2416610188
857	0.2414243889
858	0.2409900297
859	0.2407877041
860	0.2405668428
861	0.2404689869
862	0.240402831
863	0.2399818927
864	0.239751969
865	0.2395622239
866	0.2393243632
867	0.2391127846
868	0.2389391685
869	0.2387964072
870	0.2386555577
871	0.2385531287
872	0.2384179119
873	0.2381900438
874	0.2379815124
875	0.2376946806
876	0.2374436248
877	0.2373107225
878	0.2371058502
879	0.2369348189
880	0.2368045837
881	0.236650022
882	0.2364520278
883	0.2361904297
884	0.2359664922
885	0.2356803951
886	0.2354900355
887	0.2353649456
888	0.2351310997
889	0.2349690878
890	0.2347853777
891	0.2346221093
892	0.2344178941
893	0.2342835493
894	0.2339998632
895	0.233809684
896	0.2336908135
897	0.2334272307
898	0.2331915044
899	0.2330447323
900	0.2329216276
901	0.2328156973
902	0.2326526756
903	0.2325234851
904	0.2323846952
905	0.2323419103
906	0.2322100133
907	0.2319337847
908	0.2318305708
909	0.231697689
910	0.2315826169
911	0.2313822869
912	0.2311325208
913	0.2309142729
914	0.2308368857
915	0.2306811395
916	0.2305617018
917	0.2303405932
918	0.2302175382
919	0.2299988365
920	0.2298192153
921	0.2297350367
922	0.2294464162
923	0.2293559268
924	0.2291727653
925	0.2289112895
926	0.2287818339
927	0.2285556584
928	0.2282056698
929	0.2279351979
930	0.2278130654
931	0.2277102253
932	0.2274940231
933	0.227268234
934	0.2270530716
935	0.2267266015
936	0.2266230403
937	0.2265606661
938	0.226465183
939	0.2263999255
940	0.2261195127
941	0.2260418788
942	0.2257697568
943	0.2256794215
944	0.2254377575
945	0.2253454671
946	0.2252416713
947	0.2250226354
948	0.2248849181
949	0.2247797169
950	0.2246673613
951	0.2245494274
952	0.2245042883
953	0.2244246898
954	0.2243318673
955	0.2241826536
956	0.2239859123
957	0.2237750395
958	0.2236064003
959	0.2234255069
960	0.2233609903
961	0.2230700442
962	0.2229275756
963	0.2226865208
964	0.2226102329
965	0.2224532164
966	0.2223235252
967	0.2219901521
968	0.2219290647
969	0.2218292796
970	0.2216987859
971	0.2215129624
972	0.2213903137
973	0.2211419789
974	0.2209893435
975	0.2208589424
976	0.220765247
977	0.2206165111
978	0.2204463081
979	0.2202372206
980	0.2199419041
981	0.2198184445
982	0.2196717272
983	0.219560749
984	0.2193511029
985	0.2192168291
986	0.2191010757
987	0.2190002156
988	0.2188352601
989	0.2187533577
990	0.2186573076
991	0.2185059102
992	0.2184242655
993	0.218280322
994	0.218134275
995	0.2180384208
996	0.217934189
997	0.2177525002
998	0.2175340968
999	0.2173750175
